time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-14 00:00:00+00:00,1.0,1.0,22,11
2024-06-15 00:00:00+00:00,1.0,1.0,44,11
2024-06-16 00:00:00+00:00,1.0,1.0,26,16
2024-06-17 00:00:00+00:00,1.0,1.0,21,7
2024-06-18 00:00:00+00:00,36.0,18.0,13,9
2024-06-19 00:00:00+00:00,33.0,16.0,17,7
2024-06-20 00:00:00+00:00,11.0,8.0,29,11
2024-06-21 00:00:00+00:00,,,13,8
2024-06-22 00:00:00+00:00,,,5,4
2024-06-23 00:00:00+00:00,1.0,1.0,3,2
2024-06-24 00:00:00+00:00,1.0,1.0,23,6
2024-06-25 00:00:00+00:00,,,10,5
2024-06-26 00:00:00+00:00,,,5,5
2024-06-27 00:00:00+00:00,,,81,13
