time_iso8601,stars_cumulative
2024-04-30 00:00:00+00:00,1
2024-05-09 00:00:00+00:00,74
2024-05-10 00:00:00+00:00,102
2024-05-11 00:00:00+00:00,106
2024-05-12 00:00:00+00:00,109
2024-05-13 00:00:00+00:00,111
2024-05-14 00:00:00+00:00,112
2024-05-15 00:00:00+00:00,115
2024-05-16 00:00:00+00:00,117
2024-05-20 00:00:00+00:00,118
2024-05-31 00:00:00+00:00,119
2024-06-03 00:00:00+00:00,120
2024-06-08 00:00:00+00:00,121
2024-06-09 00:00:00+00:00,122
2024-06-19 00:00:00+00:00,123
2024-06-27 00:00:00+00:00,132
2024-06-29 00:00:00+00:00,133
2024-07-01 00:00:00+00:00,134
2024-07-09 00:00:00+00:00,136
2024-07-14 00:00:00+00:00,137
2024-07-18 00:00:00+00:00,138
2024-07-27 00:00:00+00:00,139
2024-08-04 00:00:00+00:00,140
2024-08-07 00:00:00+00:00,141
2024-08-18 00:00:00+00:00,142
2024-09-06 00:00:00+00:00,144
