time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-17 00:00:00+00:00,2,1,0,0
2024-04-18 00:00:00+00:00,1,1,0,0
2024-04-20 00:00:00+00:00,1,1,1,1
2024-04-21 00:00:00+00:00,0,0,1,1
2024-04-22 00:00:00+00:00,1,1,0,0
2024-04-23 00:00:00+00:00,0,0,2,1
2024-04-24 00:00:00+00:00,2,1,0,0
2024-04-27 00:00:00+00:00,1,1,0,0
2024-04-30 00:00:00+00:00,1,1,15,2
2024-05-01 00:00:00+00:00,0,0,1,1
2024-05-04 00:00:00+00:00,1,1,0,0
2024-05-06 00:00:00+00:00,1,1,2,2
2024-05-07 00:00:00+00:00,1,1,1,1
2024-05-09 00:00:00+00:00,20,19,3297,2394
2024-05-10 00:00:00+00:00,10,9,716,554
2024-05-11 00:00:00+00:00,3,3,108,93
2024-05-12 00:00:00+00:00,1,1,73,53
2024-05-13 00:00:00+00:00,0,0,67,43
2024-05-14 00:00:00+00:00,1,1,16,14
2024-05-15 00:00:00+00:00,0,0,36,22
2024-05-16 00:00:00+00:00,6,4,20,17
2024-05-17 00:00:00+00:00,0,0,9,8
2024-05-18 00:00:00+00:00,0,0,10,9
2024-05-19 00:00:00+00:00,1,1,1,1
2024-05-20 00:00:00+00:00,0,0,20,10
2024-05-21 00:00:00+00:00,3,2,15,11
2024-05-22 00:00:00+00:00,0,0,9,8
2024-05-23 00:00:00+00:00,0,0,66,11
2024-05-24 00:00:00+00:00,1,1,29,8
2024-05-25 00:00:00+00:00,0,0,21,5
2024-05-26 00:00:00+00:00,1,1,3,2
2024-05-27 00:00:00+00:00,0,0,1,1
2024-05-29 00:00:00+00:00,1,1,26,6
2024-05-30 00:00:00+00:00,3,3,33,3
2024-05-31 00:00:00+00:00,22,13,40,10
2024-06-01 00:00:00+00:00,2,2,3,2
2024-06-02 00:00:00+00:00,15,9,0,0
2024-06-03 00:00:00+00:00,2,2,69,7
2024-06-04 00:00:00+00:00,3,3,99,9
2024-06-05 00:00:00+00:00,1,1,5,5
2024-06-06 00:00:00+00:00,31,15,16,3
2024-06-07 00:00:00+00:00,1,1,14,10
2024-06-08 00:00:00+00:00,4,3,48,23
2024-06-09 00:00:00+00:00,0,0,27,13
2024-06-10 00:00:00+00:00,19,10,35,14
2024-06-11 00:00:00+00:00,37,17,46,20
2024-06-12 00:00:00+00:00,3,3,36,20
2024-06-13 00:00:00+00:00,16,8,39,14
2024-06-14 00:00:00+00:00,1,1,22,11
2024-06-15 00:00:00+00:00,1,1,44,11
2024-06-16 00:00:00+00:00,1,1,26,16
2024-06-17 00:00:00+00:00,1,1,21,7
2024-06-18 00:00:00+00:00,36,18,13,9
2024-06-19 00:00:00+00:00,33,16,17,7
2024-06-20 00:00:00+00:00,11,8,29,11
2024-06-21 00:00:00+00:00,0,0,13,8
2024-06-22 00:00:00+00:00,0,0,5,4
2024-06-23 00:00:00+00:00,1,1,3,2
2024-06-24 00:00:00+00:00,1,1,23,6
2024-06-25 00:00:00+00:00,0,0,10,5
2024-06-26 00:00:00+00:00,0,0,5,5
2024-06-27 00:00:00+00:00,0,0,81,13
2024-06-28 00:00:00+00:00,0,0,7,5
2024-06-29 00:00:00+00:00,0,0,4,4
2024-06-30 00:00:00+00:00,0,0,1,1
2024-07-01 00:00:00+00:00,1,1,6,3
2024-07-02 00:00:00+00:00,1,1,4,4
2024-07-03 00:00:00+00:00,1,1,5,4
2024-07-04 00:00:00+00:00,0,0,15,3
2024-07-05 00:00:00+00:00,0,0,9,6
2024-07-06 00:00:00+00:00,0,0,11,4
2024-07-07 00:00:00+00:00,0,0,3,2
2024-07-08 00:00:00+00:00,3,3,9,8
2024-07-09 00:00:00+00:00,0,0,165,5
2024-07-10 00:00:00+00:00,0,0,35,5
2024-07-11 00:00:00+00:00,0,0,54,11
2024-07-12 00:00:00+00:00,0,0,13,6
2024-07-14 00:00:00+00:00,0,0,3,2
2024-07-15 00:00:00+00:00,0,0,4,4
2024-07-16 00:00:00+00:00,0,0,11,5
2024-07-17 00:00:00+00:00,7,2,23,4
2024-07-18 00:00:00+00:00,1,1,16,5
2024-07-19 00:00:00+00:00,0,0,19,6
2024-07-20 00:00:00+00:00,0,0,3,2
2024-07-21 00:00:00+00:00,0,0,2,1
2024-07-22 00:00:00+00:00,0,0,21,10
2024-07-23 00:00:00+00:00,0,0,6,6
2024-07-24 00:00:00+00:00,0,0,6,4
2024-07-25 00:00:00+00:00,0,0,12,2
2024-07-26 00:00:00+00:00,0,0,33,5
2024-07-27 00:00:00+00:00,0,0,10,3
2024-07-28 00:00:00+00:00,0,0,3,2
2024-07-29 00:00:00+00:00,0,0,6,3
2024-07-30 00:00:00+00:00,0,0,15,3
2024-07-31 00:00:00+00:00,0,0,19,7
2024-08-01 00:00:00+00:00,1,1,11,4
2024-08-02 00:00:00+00:00,0,0,3,3
2024-08-03 00:00:00+00:00,0,0,1,1
2024-08-04 00:00:00+00:00,2,1,3,3
2024-08-05 00:00:00+00:00,1,1,41,4
2024-08-06 00:00:00+00:00,1,1,3,3
2024-08-07 00:00:00+00:00,0,0,20,6
2024-08-08 00:00:00+00:00,0,0,11,4
2024-08-09 00:00:00+00:00,2,2,1,1
2024-08-10 00:00:00+00:00,1,1,1,1
2024-08-11 00:00:00+00:00,1,1,1,1
2024-08-12 00:00:00+00:00,1,1,11,6
2024-08-13 00:00:00+00:00,3,3,4,2
2024-08-14 00:00:00+00:00,1,1,5,5
2024-08-15 00:00:00+00:00,1,1,1,1
2024-08-16 00:00:00+00:00,1,1,12,4
2024-08-17 00:00:00+00:00,0,0,6,3
2024-08-18 00:00:00+00:00,0,0,2,2
2024-08-19 00:00:00+00:00,1,1,5,1
2024-08-20 00:00:00+00:00,0,0,6,5
2024-08-21 00:00:00+00:00,2,2,3,3
2024-08-22 00:00:00+00:00,13,4,9,5
2024-08-23 00:00:00+00:00,10,6,3,3
2024-08-24 00:00:00+00:00,1,1,1,1
2024-08-25 00:00:00+00:00,15,6,9,4
2024-08-26 00:00:00+00:00,1,1,4,4
2024-08-27 00:00:00+00:00,1,1,8,3
2024-08-28 00:00:00+00:00,3,1,24,2
